Word,Meaning
divulge,"to make known (private or sensitive information)"
docile,"ready to accept control or instruction; submissive"
dogmatic,"inclined to lay down principles as incontrovertibly true"
dormant,"temporarily inactive or in a state of rest"
dubious,"hesitating or doubting; uncertain"
duplicitous,"deceptive in words or actions; deliberately misleading"
dynamic,"characterized by constant change, activity, or progress"
ebullient,"cheerful and full of energy; exuberant"
eclectic,"deriving ideas, style, or taste from a broad and diverse range of sources"
edict,"an official order or proclamation issued by a person in authority"
efficacious,"capable of producing the desired result or effect"
egregious,"outstandingly bad; shocking"
elicit,"to evoke or draw out (a response, answer, or fact) from someone"
eloquent,"fluent or persuasive in speaking or writing"
elucidate,"to make clear; to explain"
elusive,"difficult to find, catch, or achieve"
emaciated,"abnormally thin or weak, especially because of illness or a lack of food"
emulate,"to imitate or match, typically by effort or ambition"
encompass,"to surround or hold within"
encroach,"to intrude on a person's territory, rights, etc."
endemic,"regularly found among particular people or in a certain area"
enigma,"a person or thing that is mysterious, puzzling, or difficult to understand"
enmity,"a state of deep-seated ill-will; hostility"
ephemeral,"lasting for a very short time; fleeting"
epitome,"a person or thing that is a perfect example of a particular quality or type"
equanimity,"mental calmness, composure, and evenness of temper, especially in a difficult situation"
equivocate,"to use ambiguous language so as to conceal the truth or avoid making a commitment"
erudite,"having or showing great knowledge or learning"
eschew,"to deliberately avoid using; to abstain from"
espouse,"to adopt or support (a cause, belief, or way of life)"
ethereal,"extremely delicate and light in a way that seems too perfect for this world"
euphemism,"a mild or indirect word or expression substituted for one considered to be too harsh or blunt"
evanescent,"quickly fading or disappearing; transient"
exacerbate,"to make (a problem, situation, or feeling) worse"
exalt,"to hold (someone or something) in very high regard; to think or speak very highly of"
exemplary,"serving as a desirable model; representing the best of its kind"
exhort,"to strongly encourage or urge (someone) to do something"
exonerate,"to absolve (someone) from blame or wrongdoing"
expedient,"convenient and practical, although possibly improper or immoral"
expunge,"to erase or remove completely (something unwanted or unpleasant)"
extol,"to praise enthusiastically"
extraneous,"irrelevant or unrelated to the subject being dealt with"
extricate,"to free (someone or something) from a constraint or difficulty"
facilitate,"to make (an action or process) easy or easier"
fallacious,"based on a mistaken belief; misleading"
fastidious,"very attentive to and concerned about accuracy and detail"
fatuous,"silly and pointless"
fathom,"to understand (a difficult problem or an enigmatic person) after much thought"
feasible,"possible to do easily or conveniently"
fervent,"having or displaying a passionate intensity"
fiasco,"a complete failure, especially in a ludicrous or humiliating way"
fickle,"changing frequently, especially as regards one's loyalties, interests, or affections"
flabbergasted,"greatly surprised or astonished"
flagrant,"clearly offensive or bad; conspicuously acting against what is right"
flippant,"not showing a serious or respectful attitude"
flourish,"to grow or develop in a healthy or vigorous way, especially as the result of a particularly favorable environment"
fluctuate,"to rise and fall irregularly in number or amount"
fodder,"food, especially dried hay or feed, for cattle and other livestock"
forbearance,"patient self-control; restraint and tolerance"
foreboding,"a feeling that something bad will happen; fearful apprehension"
forego,"to precede or go before; to abstain from"
forlorn,"pitifully sad and abandoned or lonely"
fortuitous,"happening by chance or accident"
foster,"to encourage the development of (something, especially something desirable)"
frivolous,"not having any serious purpose or value"
frugal,"sparing or economical with regard to money or food"
furtive,"attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble"
garrulous,"excessively talkative, especially on trivial matters"
genial,"friendly and cheerful"
glib,"showing little thought, sincerity, or effort"
gluttony,"habitual greed or excessive indulgence in eating"
goad,"to provoke or annoy (someone) so as to stimulate some action or reaction"
gratuitous,"uncalled for; lacking good reason; unwarranted"
gregarious,"fond of company; sociable"
guile,"sly or cunning intelligence"
hackneyed,"lacking significance through having been overused; unoriginal and trite"
hamper,"to hinder or impede the movement or progress of"
hapless,"unfortunate; having bad luck"
harbinger,"a person or thing that signals or foreshadows what is to come"
haughty,"arrogantly superior and disdainful"
havoc,"widespread destruction; chaos"
heinous,"utterly odious or wicked"
heresy,"belief or opinion contrary to orthodox religious (especially Christian) doctrine"
hiatus,"a pause or gap in a sequence, series, or process"
hinder,"to create difficulties for (someone or something), resulting in delay or obstruction"
histrionic,"overly theatrical or melodramatic in character or style"
hoard,"to amass (money or valued objects) and hide or store away"
homogeneous,"of the same kind; alike"
hubris,"excessive pride or self-confidence; arrogance"
humble,"having or showing a modest or low estimate of one's importance"
hyperbole,"exaggerated statements or claims not meant to be taken literally"
hypocrite,"a person who pretends to have moral or religious beliefs, but behaves in a way that contradicts those beliefs"
iconoclast,"a person who attacks cherished beliefs or institutions"
idiosyncrasy,"a mode of behavior or way of thought peculiar to an individual"
ignominy,"public shame or disgrace"
illustrious,"well known, respected, and admired for past achievements"
imbibe,"to drink alcohol"
immaculate,"perfectly clean, neat, or tidy"
imminent,"about to happen; impending"
immutable,"unchanging over time or unable to be changed"
impartial,"treating all rivals or disputants equally; fair and just"
impeccable,"in accordance with the highest standards of propriety; faultless"
impede,"to delay or prevent (someone or something) by obstructing them; to hinder"
imperative,"of vital importance; crucial"
imperious,"assuming power or authority without justification; arrogant and domineering"
impetuous,"acting or done quickly and without thought or care"
implacable,"unable to be appeased or pacified"
implicit,"implied though not plainly expressed; unquestioning"
implore,"to beg someone earnestly or desperately to do something"
imposing,"grand and impressive in appearance"
imprudent,"not showing care for the consequences of an action; rash"
impudent,"not showing due respect for another person; impertinent"
inane,"silly; stupid"
inaugurate,"to formally admit someone to office; to mark the beginning of"
incandescent,"emitting light as a result of being heated; passionate or angry"
incense,"to make someone very angry; to infuriate"
incisive,"intelligently analytical and clear-thinking"
incognito,"having one's true identity concealed"
incongruous,"not in harmony or keeping with the surroundings or other aspects of something"
incontrovertible,"undeniable; impossible to dispute"
incorrigible,"not able to be corrected, improved, or reformed"
incredulous,"unwilling or unable to believe something"
incumbent,"necessary as a duty or responsibility; currently holding an office or position"
indebted,"owing gratitude or appreciation to someone; owing money"
indifferent,"having no particular interest or sympathy; unconcerned"
indigenous,"originating or occurring naturally in a particular place; native"
indignant,"feeling or showing anger or annoyance at what is perceived as unfair treatment"
indolent,"wanting to avoid activity or exertion; lazy"
indomitable,"impossible to subdue or defeat"
indulgent,"having a tendency to be overly generous or lenient"
inept,"having or showing no skill; clumsy"
inert,"lacking the ability or strength to move"
inexorable,"impossible to stop or prevent"
infamous,"well known for some bad quality or deed"
infatuated,"possessed with an intense but short-lived passion or admiration for someone"
infiltrate,"to enter or gain access to (an organization, place, etc.) surreptitiously and gradually, especially in order to acquire secret information"
influx,"an arrival or entry of large numbers of people or things"
inherent,"existing in something as a permanent, essential, or characteristic attribute"
inhibit,"to hinder, restrain, or prevent (an action or process)"
innocuous,"not harmful or offensive"
innovative,"introducing or using new ideas, methods, or concepts"
insatiable,"impossible to satisfy"
insidious,"proceeding in a gradual, subtle way, but with harmful effects"
insinuate,"to suggest or hint (something bad or reprehensible) in an indirect and unpleasant way"
insipid,"lacking flavor; dull or boring"
insolent,"showing a rude and arrogant lack of respect"
insular,"ignorant of or uninterested in cultures, ideas, or peoples outside one's own experience"
integrity,"the quality of being honest and having strong moral principles; moral uprightness"
intrepid,"fearless; adventurous (often used for rhetorical or humorous effect)"
inundate,"to overwhelm (someone) with things or people to be dealt with"
invoke,"to cite or appeal to (someone or something) as an authority for an action or in support of an argument"
irksome,"irritating; annoying"
ironic,"happening in the opposite way to what is expected or intended"
irrational,"not logical or reasonable"
irreverent,"showing a lack of respect for people or things that are generally taken seriously"
itinerant,"traveling from place to place"
jaunty,"having or expressing a lively, cheerful, and self-confident manner"
jeopardize,"to put (someone or something) into a situation in which there is a danger of loss, harm, or failure"
jest,"a thing said or done for amusement; a joke"
jubilant,"feeling or expressing great happiness and triumph"
judicious,"having, showing, or done with good judgment or sense"
juxtapose,"to place or deal with close together for contrasting effect"
keen,"having or showing eagerness or enthusiasm"
kinetic,"relating to or resulting from motion"
knack,"an acquired or natural skill at doing something"
labyrinth,"a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze"
laconic,"using very few words; brief and to the point"
lament,"to express sorrow, regret, or disappointment about something"
lampoon,"to publicly criticize (someone or something) by using ridicule, irony, or sarcasm"
languid,"displaying or having a disinclination for physical exertion or effort; slow and relaxed"
latent,"existing but not yet developed or manifest; hidden or concealed"
laudable,"deserving praise and commendation"
lavish,"sumptuously rich, elaborate, or luxurious"
legacy,"an amount of money or property left to someone in a will"
lenient,"permissive, merciful, or tolerant in the exercise of authority or punishment"
lethargic,"sluggish and apathetic"
levity,"lack of seriousness; frivolity"
limpid,"clear and unclouded"
listless,"lacking energy or enthusiasm"
lithe,"thin, supple, and graceful"
loathe,"to feel intense dislike or disgust for"
lofty,"of imposing height or grandeur; noble and elevated in nature"
logistics,"the detailed coordination of a complex operation involving many people, facilities, or supplies"
loquacious,"talkative; fond of talking"
lucid,"expressed clearly; easy to understand"
ludicrous,"so foolish, unreasonable, or out of place as to be amusing; ridiculous"
lurid,"presented in vividly shocking or sensational terms"
luscious,"having a pleasingly rich, sweet taste"
magnanimous,"very generous or forgiving, especially toward a rival or someone less powerful than oneself"
malicious,"characterized by malice; intending or intended to do harm"
malleable,"easily influenced; pliable"
manifest,"clear or obvious to the eye or mind"
maudlin,"self-pityingly or tearfully sentimental"
meander,"to wander aimlessly or casually"
mediocre,"of only moderate quality; not very good"
melancholy,"a feeling of pensive sadness, typically with no obvious cause"
menace,"a person or thing that is likely to cause harm; a threat or danger"
mercurial,"subject to sudden or unpredictable changes of mood or mind"
meticulous,"showing great attention to detail; very careful and precise"
mirth,"amusement, especially as expressed in laughter"
misanthrope,"a person who dislikes humankind and avoids human society"
mitigate,"to make less severe, serious, or painful"
modicum,"a small quantity of a particular thing, especially something desirable or valuable"
modulate,"to exert a modifying or controlling influence on; to vary the strength, tone, or pitch of (one's voice)"
monotonous,"dull, tedious, and repetitious; lacking in variety and interest"
morose,"sullen and ill-tempered"
mundane,"lacking interest or excitement; dull"
munificent,"larger or more generous than is usual or necessary"
myriad,"a countless or extremely great number"
nadir,"the lowest point in the fortunes of a person or organization"
nascent,"just coming into existence and beginning to display signs of future potential"
nefarious,"wicked or criminal"
negligible,"so small or unimportant as to be not worth considering; insignificant"
neophyte,"a person who is new to a subject, skill, or belief"
nepotism,"the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs"
nocturnal,"done, occurring, or active at night"
nonchalant,"feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm"
nondescript,"lacking distinctive or interesting features or characteristics"
nostalgia,"a sentimental longing or wistful affection for a period in the past"
novice,"a person new to or inexperienced in a field or situation"
noxious,"harmful, poisonous, or very unpleasant"
nullify,"to make legally null and void; invalidate"
numb,"deprived of the power of sensation; unable to feel or move"
obdurate,"stubbornly refusing to change one's opinion or course of action"
obfuscate,"to render unclear, unintelligible, or confusing"
oblivion,"the state of being unaware or unconscious of what is happening"
obnoxious,"extremely unpleasant"
obscure,"not discovered or known about; uncertain"
obsequious,"obedient or attentive to an excessive or servile degree"
obsolete,"no longer produced or used; out of date"
obstinate,"stubbornly refusing to change one's opinion or chosen course of action"
obstreperous,"noisy and difficult to control"
obtuse,"annoyingly insensitive or slow to understand"
odious,"extremely unpleasant; repulsive"
ominous,"giving the impression that something bad or unpleasant is going to happen; threatening"
opulent,"ostentatiously rich and luxurious or lavish"
ornate,"made in an intricate shape or decorated with complex patterns"
ostentatious,"characterized by vulgar or pretentious display; designed to attract attention or impress"
outlandish,"looking or sounding bizarre or unfamiliar"
outspoken,"forthright or candid in speech; frank"
overbearing,"unpleasantly or arrogantly domineering"
overlook,"to fail to notice, perceive, or consider"
overwhelm,"to bury or drown beneath a huge mass"
overzealous,"excessively enthusiastic"
pacify,"to quell the anger, agitation, or excitement of; to bring peace or calm to"
palpable,"able to be touched or felt; tangible"
panacea,"a solution or remedy for all difficulties or diseases"
pandemonium,"wild and noisy disorder or confusion; uproar"
paradigm,"a typical example or pattern of something; a model"
paradox,"a statement or proposition that, despite sound reasoning from acceptable premises, leads to a conclusion that seems senseless, logically unacceptable, or self-contradictory"
paramount,"more important than anything else; supreme"
pariah,"an outcast"
parsimonious,"unwilling to spend money or use resources; stingy or frugal"
partisan,"a strong supporter of a party, cause, or person"
penchant,"a strong or habitual liking for something or tendency to do something"
perceptive,"having or showing sensitive insight or understanding"
perennial,"lasting or existing for a long or apparently infinite time; enduring or continually recurring"
perfunctory,"carried out with a minimum of effort or reflection"
perilous,"full of danger or risk"
permeate,"to spread throughout; pervade"
pernicious,"having a harmful effect, especially in a gradual or subtle way"
perplex,"to cause someone to feel completely baffled or puzzled"
pertinent,"relevant or applicable to a particular matter; apposite"
peruse,"to read (something), typically in a thorough or careful way"
pervasive,"spreading widely throughout an area or a group of people"
petulant,"childishly sulky or bad-tempered"
philanthropy,"the desire to promote the welfare of others, expressed especially by the generous donation of money to good causes"
piquant,"having a pleasantly sharp taste or appetizing flavor"
placate,"to make (someone) less angry or hostile"
placid,"not easily upset or excited; calm and peaceful"
plausible,"seeming reasonable or probable"
plethora,"a large or excessive amount of something"
plight,"a dangerous, difficult, or otherwise unfortunate situation"
poignant,"evoking a keen sense of sadness or regret; touching"
ponder,"to think about (something) carefully, especially before making a decision or reaching a conclusion"
portend,"to be a sign or warning that (something, especially something momentous or calamitous) is likely to happen"
portray,"to depict (someone or something) in a work of art or literature"
postulate,"to suggest or assume the existence, fact, or truth of (something) as a basis for reasoning, discussion, or belief"
potent,"having great power, influence, or effect"
pragmatic,"dealing with things sensibly and realistically in a way that is based on practical rather than theoretical considerations"
precarious,"dependent on chance; uncertain"
precede,"to come before (something) in time, order, or position"
precipitate,"to cause (an event or situation, typically one that is undesirable) to happen suddenly, unexpectedly, or prematurely"
preclude,"to prevent from happening; to make impossible"
precocious,"having developed certain abilities or proclivities at an earlier age than usual"
predicament,"a difficult, unpleasant, or embarrassing situation"
predilection,"a preference or special liking for something; a bias in favor of something"
preemptive,"intended to preempt or forestall something, especially to prevent attack by disabling the enemy"
premier,"first in importance, order, or position; leading"
preposterous,"contrary to reason or common sense; utterly absurd or ridiculous"
prescient,"having or showing knowledge of events before they take place"
presume,"to suppose that something is the case on the basis of probability"
prevail,"to prove more powerful or superior; to be widespread or current"
prevalent,"widespread in a particular area or at a particular time"
prodigious,"remarkably or impressively great in extent, size, or degree"
profound,"very great or intense; having or showing great knowledge or insight"
prolific,"producing much fruit or foliage or many offspring; highly productive"
prominent,"important; famous"
propensity,"an inclination or natural tendency to behave in a particular way"
propitious,"giving or indicating a good chance of success; favorable"
prosaic,"having the style or diction of prose; lacking poetic beauty; commonplace"
proscribe,"to forbid, especially by law; to denounce or condemn"
prosperous,"successful in material terms; flourishing financially"
protean,"able to change or do many different things; versatile"
protract,"to prolong or lengthen (something, typically a process or event)"
provincial,"of or concerning a province of a country or empire; lacking sophistication or narrow-minded"
prudent,"acting with or showing care and thought for the future"
pugnacious,"eager or quick to argue, quarrel, or fight"
pulchritudinous,"physically beautiful; comely"
punctual,"happening or doing something at the agreed or proper time; on time"
pungent,"having a sharply strong taste or smell"
purge,"to rid (someone or something) of an unwanted quality, condition, or feeling"
quaint,"attractively unusual or old-fashioned"
qualm,"an uneasy feeling of doubt, worry, or fear, especially about one's own conduct"
quandary,"a state of perplexity or uncertainty over what to do in a difficult situation"
quell,"to put an end to (a rebellion or other disorder), typically by the use of force"
querulous,"complaining in a petulant or whining manner"
quiescent,"in a state or period of inactivity or dormancy"
quintessential,"representing the most perfect or typical example of a quality or class"
quirky,"characterized by peculiar or unexpected traits"
quixotic,"exceedingly idealistic; unrealistic and impractical"
rampant,"flourishing or spreading unchecked; widespread and unrestrained"
ravenous,"extremely hungry; famished"
rebuke,"to express sharp disapproval or criticism of (someone) because of their behavior or actions"
recluse,"a person who lives a solitary life and tends to avoid other people"
recourse,"a source of help in a difficult situation"
rectify,"to put right; correct"
redolent,"strongly reminiscent or suggestive of something; fragrant or aromatic"
redundant,"not or no longer needed or useful; superfluous"
refute,"to prove (a statement or theory) to be wrong or false; to disprove"
regale,"to entertain or amuse (someone) with talk"
regress,"to return to a former or less developed state"
relegate,"to consign or dismiss to an inferior rank or position"
relentless,"oppressively constant; incessant"
relinquish,"to voluntarily cease to keep or claim; to give up"
remnant,"a small remaining quantity of something"
remorse,"deep regret or guilt for a wrong committed"
renounce,"to formally declare one's abandonment of (a claim, right, or possession)"
replete,"filled or well-supplied with something"
reprieve,"a cancellation or postponement of a punishment; a temporary relief or break"
reproach,"to address (someone) in such a way as to express disapproval or disappointment"
repudiate,"to refuse to accept or be associated with; to reject as untrue or unjust"
resilient,"able to withstand or recover quickly from difficult conditions"
resolute,"admirably purposeful, determined, and unwavering"
resplendent,"attractive and impressive through being richly colorful or sumptuous"
revel,"to enjoy oneself in a lively and noisy way, especially with drinking and dancing"
revere,"to feel deep respect or admiration for (something)"
rhapsody,"an effusively enthusiastic or ecstatic expression of feeling"
rife,"(of something undesirable) of common occurrence; widespread"
rout,"a disorderly retreat of defeated troops"
rudimentary,"involving or limited to basic principles; basic or elementary"
rue,"to bitterly regret (something one has done or allowed to happen)"
ruthless,"having or showing no pity or compassion for others"
sage,"having, showing, or indicating profound wisdom"
salient,"most noticeable or important"
sanctuary,"a place of refuge or safety"
sanguine,"optimistic or positive, especially in an apparently bad or difficult situation"
sardonic,"grimly mocking or cynical"
scintillating,"sparkling or shining brightly; brilliantly and excitingly clever or skillful"
scrupulous,"diligent, thorough, and extremely attentive to details"
seclude,"to keep (someone) away from other people; to isolate or hide"
sedentary,"tending to spend much time seated; somewhat inactive"
serene,"calm, peaceful, and untroubled; tranquil"
shrewd,"having or showing sharp powers of judgment; astute"
skeptical,"not easily convinced; having doubts or reservations"
slew,"a large number or quantity of something"
sly,"having or showing a cunning and deceitful nature"
smug,"having or showing an excessive pride in oneself or one's achievements"
solace,"comfort or consolation in a time of distress or sadness"
solemn,"formal and dignified; not cheerful or smiling; serious"
somber,"dark or dull in color or tone; gloomy"
sonorous,"imposingly deep and full; capable of producing a powerful sound"
soporific,"tending to induce drowsiness or sleep"
sparse,"thinly dispersed or scattered"
sporadic,"occurring at irregular intervals or only in a few places; scattered or isolated"
squander,"to waste (something, especially money or time) in a reckless and foolish manner"
stagnant,"showing no activity; dull and sluggish"
staunch,"loyal and committed in attitude"
steadfast,"resolutely or dutifully firm and unwavering"
stellar,"of or relating to a star or stars; exceptionally good; outstanding"
stifle,"to restrain or stop oneself from acting on or feeling (an emotion)"
stoic,"a person who can endure pain or hardship without showing their feelings or complaining"
strife,"angry or bitter disagreement over fundamental issues; conflict"
sublime,"of such excellence, grandeur, or beauty as to inspire great admiration or awe"
subtle,"delicate or precise as to be difficult to analyze or describe"
succinct,"briefly and clearly expressed"
suffice,"to be enough or adequate"
sullen,"bad-tempered and sulky; gloomy"
sumptuous,"splendid and expensive-looking; magnificent"
superfluous,"unnecessary, especially through being more than enough"
supple,"bending and moving easily and gracefully; flexible"
supplicate,"to ask or beg for something earnestly or humbly"
surmise,"to suppose that something is true without having evidence to confirm it"
surreptitious,"kept secret, especially because it would not be approved of"
sustenance,"food and drink regarded as a source of strength; nourishment"
sycophant,"a person who acts obsequiously toward someone important in order to gain advantage"
taciturn,"reserved or uncommunicative in speech; saying little"
tangible,"perceptible by touch; clear and definite; real"
tantamount,"equivalent in seriousness to; virtually the same as"
tedious,"too long, slow, or dull; tiresome or monotonous"
tempestuous,"characterized by strong and turbulent or conflicting emotion"
tenacious,"tending to keep a firm hold of something; clinging or adhering closely"
tentative,"not certain or fixed; provisional"
terse,"sparing in the use of words; abrupt"
timorous,"showing or suffering from nervousness, fear, or a lack of confidence"
